desde_tipo,desde_id,relacion,hasta_tipo,hasta_id,km,tiempo_min
Ubicacion,12,CONECTA_CON,Ubicacion,2775,4.59,7.42
Ubicacion,13,CONECTA_CON,Ubicacion,1029,7.49,8.29
Ubicacion,13,CONECTA_CON,Ubicacion,4030,4.09,11.92
Ubicacion,13,CONECTA_CON,Ubicacion,1578,1.0,1.43
Ubicacion,14,CONECTA_CON,Ubicacion,2175,5.27,5.37
Ubicacion,14,CONECTA_CON,Ubicacion,1986,9.13,24.82
Ubicacion,14,CONECTA_CON,Ubicacion,764,1.42,3.37
Ubicacion,15,CONECTA_CON,Ubicacion,4641,8.64,17.94
Ubicacion,15,CONECTA_CON,Ubicacion,2527,1.52,3.32
Ubicacion,15,CONECTA_CON,Ubicacion,426,6.78,12.15
Ubicacion,16,CONECTA_CON,Ubicacion,1417,4.93,11.73
Ubicacion,16,CONECTA_CON,Ubicacion,211,3.7,8.47
Ubicacion,16,CONECTA_CON,Ubicacion,4612,8.63,12.36
Ubicacion,17,CONECTA_CON,Ubicacion,3430,6.67,15.97
Ubicacion,17,CONECTA_CON,Ubicacion,1788,4.38,7.96
Ubicacion,17,CONECTA_CON,Ubicacion,1734,6.08,13.65
Ubicacion,18,CONECTA_CON,Ubicacion,1108,8.06,11.76
Ubicacion,18,CONECTA_CON,Ubicacion,3719,8.47,23.14
Ubicacion,18,CONECTA_CON,Ubicacion,636,1.7,1.73
Ubicacion,19,CONECTA_CON,Ubicacion,4382,3.51,4.6
Ubicacion,19,CONECTA_CON,Ubicacion,4805,0.69,1.94
Ubicacion,19,CONECTA_CON,Ubicacion,2164,4.97,5.2
Ubicacion,20,CONECTA_CON,Ubicacion,3077,8.69,10.37
Ubicacion,20,CONECTA_CON,Ubicacion,1240,4.63,8.32
Ubicacion,20,CONECTA_CON,Ubicacion,13,8.39,11.06
Ubicacion,21,CONECTA_CON,Ubicacion,2040,8.09,13.68
Ubicacion,21,CONECTA_CON,Ubicacion,4463,9.1,11.76
Ubicacion,21,CONECTA_CON,Ubicacion,1667,1.02,1.3
Ubicacion,22,CONECTA_CON,Ubicacion,1807,4.06,4.11
Ubicacion,22,CONECTA_CON,Ubicacion,2213,8.59,13.67
Ubicacion,22,CONECTA_CON,Ubicacion,699,3.79,5.73
Ubicacion,23,CONECTA_CON,Ubicacion,3615,4.15,5.28
Ubicacion,23,CONECTA_CON,Ubicacion,1777,8.98,26.4
Ubicacion,23,CONECTA_CON,Ubicacion,4621,5.23,8.85
Ubicacion,24,CONECTA_CON,Ubicacion,572,7.46,9.67
Ubicacion,24,CONECTA_CON,Ubicacion,3126,5.44,6.64
Ubicacion,24,CONECTA_CON,Ubicacion,4224,6.68,8.46
Ubicacion,25,CONECTA_CON,Ubicacion,2295,7.62,9.14
Ubicacion,25,CONECTA_CON,Ubicacion,4102,6.34,17.35
Ubicacion,25,CONECTA_CON,Ubicacion,3071,9.01,17.55
Ubicacion,26,CONECTA_CON,Ubicacion,3845,9.75,11.0
Ubicacion,26,CONECTA_CON,Ubicacion,2635,6.57,10.13
Ubicacion,26,CONECTA_CON,Ubicacion,775,7.87,9.69
Ubicacion,27,CONECTA_CON,Ubicacion,256,6.24,7.07
Ubicacion,27,CONECTA_CON,Ubicacion,896,1.8,4.92
Ubicacion,27,CONECTA_CON,Ubicacion,3653,5.75,7.59
Ubicacion,28,CONECTA_CON,Ubicacion,1652,3.63,7.47
Ubicacion,28,CONECTA_CON,Ubicacion,1668,3.79,5.15
Ubicacion,28,CONECTA_CON,Ubicacion,3000,7.93,15.03
Ubicacion,29,CONECTA_CON,Ubicacion,284,3.87,4.31
Ubicacion,29,CONECTA_CON,Ubicacion,2427,0.66,1.07
Ubicacion,29,CONECTA_CON,Ubicacion,4803,6.79,17.0
Ubicacion,30,CONECTA_CON,Ubicacion,563,2.58,2.95
Ubicacion,30,CONECTA_CON,Ubicacion,4275,5.7,8.19
Ubicacion,30,CONECTA_CON,Ubicacion,569,6.3,16.37
Ubicacion,31,CONECTA_CON,Ubicacion,4638,8.43,11.02
Ubicacion,31,CONECTA_CON,Ubicacion,3806,1.14,2.88
Ubicacion,31,CONECTA_CON,Ubicacion,3451,2.74,5.54
Ubicacion,32,CONECTA_CON,Ubicacion,1769,2.37,3.12
Ubicacion,32,CONECTA_CON,Ubicacion,1107,7.23,12.3
Ubicacion,32,CONECTA_CON,Ubicacion,1714,5.37,13.77
Ubicacion,33,CONECTA_CON,Ubicacion,774,8.59,10.03
Ubicacion,33,CONECTA_CON,Ubicacion,1203,1.43,2.78
Ubicacion,33,CONECTA_CON,Ubicacion,3487,5.93,7.46
Ubicacion,34,CONECTA_CON,Ubicacion,4053,6.8,14.12
Ubicacion,34,CONECTA_CON,Ubicacion,2623,5.29,11.45
Ubicacion,34,CONECTA_CON,Ubicacion,2830,7.18,21.45
Ubicacion,35,CONECTA_CON,Ubicacion,2287,4.37,5.22
Ubicacion,35,CONECTA_CON,Ubicacion,1062,9.48,9.67
Ubicacion,35,CONECTA_CON,Ubicacion,1996,6.41,6.85
Ubicacion,36,CONECTA_CON,Ubicacion,3110,2.7,7.08
Ubicacion,36,CONECTA_CON,Ubicacion,3219,9.1,11.32
Ubicacion,36,CONECTA_CON,Ubicacion,3157,0.96,1.47
Ubicacion,37,CONECTA_CON,Ubicacion,1335,2.69,3.9
Ubicacion,37,CONECTA_CON,Ubicacion,2417,6.81,9.03
Ubicacion,37,CONECTA_CON,Ubicacion,1690,2.59,3.8
Ubicacion,38,CONECTA_CON,Ubicacion,1141,1.62,3.56
Ubicacion,38,CONECTA_CON,Ubicacion,1566,4.65,6.02
Ubicacion,38,CONECTA_CON,Ubicacion,451,6.88,8.64
Ubicacion,39,CONECTA_CON,Ubicacion,354,8.75,21.71
Ubicacion,39,CONECTA_CON,Ubicacion,803,2.11,2.16
Ubicacion,39,CONECTA_CON,Ubicacion,2727,0.6,0.98
Ubicacion,40,CONECTA_CON,Ubicacion,1627,9.77,15.52
Ubicacion,40,CONECTA_CON,Ubicacion,613,8.41,10.29
Ubicacion,40,CONECTA_CON,Ubicacion,2003,5.92,7.14
Ubicacion,41,CONECTA_CON,Ubicacion,1348,7.87,12.18
Ubicacion,41,CONECTA_CON,Ubicacion,3551,2.06,2.25
Ubicacion,41,CONECTA_CON,Ubicacion,1590,7.29,15.99
Ubicacion,42,CONECTA_CON,Ubicacion,4719,4.66,11.3
Ubicacion,42,CONECTA_CON,Ubicacion,3638,7.49,12.02
Ubicacion,42,CONECTA_CON,Ubicacion,3508,2.46,2.72
Ubicacion,43,CONECTA_CON,Ubicacion,1371,4.27,8.32
Ubicacion,43,CONECTA_CON,Ubicacion,4752,5.05,8.26
Ubicacion,43,CONECTA_CON,Ubicacion,1691,7.48,8.45
Ubicacion,44,CONECTA_CON,Ubicacion,1494,4.95,8.71
Ubicacion,44,CONECTA_CON,Ubicacion,2902,0.68,1.02
Ubicacion,44,CONECTA_CON,Ubicacion,1650,6.49,12.17
Ubicacion,45,CONECTA_CON,Ubicacion,4122,6.89,7.33
Ubicacion,45,CONECTA_CON,Ubicacion,3883,2.23,3.08
Ubicacion,45,CONECTA_CON,Ubicacion,1204,1.17,1.56
Ubicacion,46,CONECTA_CON,Ubicacion,2621,1.89,4.87
Ubicacion,46,CONECTA_CON,Ubicacion,3964,8.29,15.47
Ubicacion,46,CONECTA_CON,Ubicacion,1299,5.09,6.18
Ubicacion,47,CONECTA_CON,Ubicacion,653,1.14,3.13
Ubicacion,47,CONECTA_CON,Ubicacion,4481,0.52,0.89
Ubicacion,47,CONECTA_CON,Ubicacion,2384,1.56,2.0
Ubicacion,48,CONECTA_CON,Ubicacion,1860,4.74,5.35
Ubicacion,48,CONECTA_CON,Ubicacion,177,9.28,10.0
Ubicacion,48,CONECTA_CON,Ubicacion,3810,8.94,12.65
Ubicacion,49,CONECTA_CON,Ubicacion,3334,5.26,5.68
Ubicacion,49,CONECTA_CON,Ubicacion,4004,5.3,7.69
Ubicacion,49,CONECTA_CON,Ubicacion,3298,7.58,9.94
Ubicacion,50,CONECTA_CON,Ubicacion,4445,2.74,3.37
Ubicacion,50,CONECTA_CON,Ubicacion,2785,1.67,3.51
Ubicacion,50,CONECTA_CON,Ubicacion,2457,7.67,10.71
Ubicacion,51,CONECTA_CON,Ubicacion,3792,6.74,10.39
Ubicacion,51,CONECTA_CON,Ubicacion,3774,6.14,14.95
Ubicacion,51,CONECTA_CON,Ubicacion,659,8.67,23.6
Ubicacion,52,CONECTA_CON,Ubicacion,189,8.44,15.92
Ubicacion,52,CONECTA_CON,Ubicacion,3882,9.11,14.41
Ubicacion,52,CONECTA_CON,Ubicacion,3268,6.86,18.39
Ubicacion,53,CONECTA_CON,Ubicacion,4925,8.46,14.62
Ubicacion,53,CONECTA_CON,Ubicacion,3110,5.45,12.09
Ubicacion,53,CONECTA_CON,Ubicacion,637,1.87,2.12
Ubicacion,54,CONECTA_CON,Ubicacion,2608,5.94,9.29
Ubicacion,54,CONECTA_CON,Ubicacion,3642,5.69,16.57
Ubicacion,54,CONECTA_CON,Ubicacion,4909,3.28,3.88
Ubicacion,55,CONECTA_CON,Ubicacion,2664,2.15,6.28
Ubicacion,55,CONECTA_CON,Ubicacion,4794,5.45,10.09
Ubicacion,55,CONECTA_CON,Ubicacion,1994,3.88,4.68
Ubicacion,56,CONECTA_CON,Ubicacion,542,8.19,9.27
Ubicacion,56,CONECTA_CON,Ubicacion,3914,4.32,12.08
Ubicacion,56,CONECTA_CON,Ubicacion,4028,7.33,17.06
Ubicacion,57,CONECTA_CON,Ubicacion,2563,3.09,5.43
Ubicacion,57,CONECTA_CON,Ubicacion,2775,5.65,6.43
Ubicacion,57,CONECTA_CON,Ubicacion,2796,5.75,7.92
Ubicacion,58,CONECTA_CON,Ubicacion,4925,5.96,7.16
Ubicacion,58,CONECTA_CON,Ubicacion,4259,4.33,7.22
Ubicacion,58,CONECTA_CON,Ubicacion,1473,5.06,8.32
Ubicacion,59,CONECTA_CON,Ubicacion,1094,1.25,1.33
Ubicacion,59,CONECTA_CON,Ubicacion,2559,8.93,10.08
Ubicacion,59,CONECTA_CON,Ubicacion,2098,5.6,12.16
Ubicacion,60,CONECTA_CON,Ubicacion,839,7.51,8.51
Ubicacion,60,CONECTA_CON,Ubicacion,1550,9.89,17.47
Ubicacion,60,CONECTA_CON,Ubicacion,2253,7.54,7.67
Ubicacion,61,CONECTA_CON,Ubicacion,204,1.37,1.76
Ubicacion,61,CONECTA_CON,Ubicacion,4451,5.43,9.77
Ubicacion,61,CONECTA_CON,Ubicacion,3005,8.61,9.0
Ubicacion,62,CONECTA_CON,Ubicacion,2735,5.87,15.8
Ubicacion,62,CONECTA_CON,Ubicacion,2347,5.91,14.21
Ubicacion,62,CONECTA_CON,Ubicacion,4384,3.36,7.35
Ubicacion,63,CONECTA_CON,Ubicacion,4524,5.95,13.57
Ubicacion,63,CONECTA_CON,Ubicacion,4533,1.31,2.2
Ubicacion,63,CONECTA_CON,Ubicacion,2898,7.48,10.03
Ubicacion,64,CONECTA_CON,Ubicacion,4962,3.51,3.53
Ubicacion,64,CONECTA_CON,Ubicacion,1658,6.28,11.08
Ubicacion,64,CONECTA_CON,Ubicacion,1374,8.68,10.41
Ubicacion,65,CONECTA_CON,Ubicacion,3498,8.79,9.3
Ubicacion,65,CONECTA_CON,Ubicacion,2346,2.9,3.62
Ubicacion,65,CONECTA_CON,Ubicacion,106,3.07,3.11
Ubicacion,66,CONECTA_CON,Ubicacion,150,3.36,6.66
Ubicacion,66,CONECTA_CON,Ubicacion,2441,2.38,3.85
Ubicacion,66,CONECTA_CON,Ubicacion,4694,8.71,20.53
Ubicacion,67,CONECTA_CON,Ubicacion,4409,2.86,6.11
Ubicacion,67,CONECTA_CON,Ubicacion,1126,4.86,14.09
Ubicacion,67,CONECTA_CON,Ubicacion,2211,7.55,7.71
Ubicacion,68,CONECTA_CON,Ubicacion,3976,0.66,0.93
Ubicacion,68,CONECTA_CON,Ubicacion,4985,4.52,5.12
Ubicacion,68,CONECTA_CON,Ubicacion,4395,3.81,4.72
Ubicacion,69,CONECTA_CON,Ubicacion,171,7.63,8.51
Ubicacion,69,CONECTA_CON,Ubicacion,2954,0.82,1.27
Ubicacion,69,CONECTA_CON,Ubicacion,3625,1.07,1.19
Ubicacion,70,CONECTA_CON,Ubicacion,3684,6.67,6.92
Ubicacion,70,CONECTA_CON,Ubicacion,4950,7.58,14.86
Ubicacion,70,CONECTA_CON,Ubicacion,4373,4.43,7.08
Ubicacion,71,CONECTA_CON,Ubicacion,2449,4.12,6.97
Ubicacion,71,CONECTA_CON,Ubicacion,859,1.81,2.82
Ubicacion,71,CONECTA_CON,Ubicacion,3252,9.87,16.72
Ubicacion,72,CONECTA_CON,Ubicacion,1569,9.09,21.52
Ubicacion,72,CONECTA_CON,Ubicacion,134,9.56,14.13
Ubicacion,72,CONECTA_CON,Ubicacion,1410,2.31,2.47
Ubicacion,73,CONECTA_CON,Ubicacion,1642,3.19,8.16
Ubicacion,73,CONECTA_CON,Ubicacion,4478,6.97,18.33
Ubicacion,73,CONECTA_CON,Ubicacion,2549,5.72,10.9
Ubicacion,74,CONECTA_CON,Ubicacion,4601,4.58,8.05
Ubicacion,74,CONECTA_CON,Ubicacion,105,8.94,15.23
Ubicacion,74,CONECTA_CON,Ubicacion,448,5.98,8.37
Ubicacion,75,CONECTA_CON,Ubicacion,2214,1.36,1.54
Ubicacion,75,CONECTA_CON,Ubicacion,440,3.09,3.61
Ubicacion,75,CONECTA_CON,Ubicacion,1236,0.76,1.08
Ubicacion,76,CONECTA_CON,Ubicacion,1713,9.55,13.23
Ubicacion,76,CONECTA_CON,Ubicacion,4023,4.78,7.21
Ubicacion,76,CONECTA_CON,Ubicacion,3760,4.77,12.13
Ubicacion,77,CONECTA_CON,Ubicacion,1756,8.82,11.82
Ubicacion,77,CONECTA_CON,Ubicacion,4422,8.2,14.7
Ubicacion,77,CONECTA_CON,Ubicacion,1123,8.84,9.31
Ubicacion,78,CONECTA_CON,Ubicacion,3592,5.22,10.1
Ubicacion,78,CONECTA_CON,Ubicacion,1887,7.42,15.67
Ubicacion,78,CONECTA_CON,Ubicacion,272,4.14,5.49
Ubicacion,79,CONECTA_CON,Ubicacion,3158,9.23,12.37
Ubicacion,79,CONECTA_CON,Ubicacion,333,4.23,5.24
Ubicacion,79,CONECTA_CON,Ubicacion,4086,9.55,10.95
Ubicacion,80,CONECTA_CON,Ubicacion,116,5.19,6.63
Ubicacion,80,CONECTA_CON,Ubicacion,3775,6.39,7.97
Ubicacion,80,CONECTA_CON,Ubicacion,4080,4.46,5.93
Ubicacion,81,CONECTA_CON,Ubicacion,1479,2.64,3.89
Ubicacion,81,CONECTA_CON,Ubicacion,4941,5.62,7.9
Ubicacion,81,CONECTA_CON,Ubicacion,4632,1.11,2.91
Ubicacion,82,CONECTA_CON,Ubicacion,93,6.18,10.16
Ubicacion,82,CONECTA_CON,Ubicacion,3679,3.54,9.46
Ubicacion,82,CONECTA_CON,Ubicacion,2789,7.73,8.56
Ubicacion,83,CONECTA_CON,Ubicacion,4359,4.23,7.21
Ubicacion,83,CONECTA_CON,Ubicacion,3556,2.53,2.64
Ubicacion,83,CONECTA_CON,Ubicacion,615,0.67,1.58
Ubicacion,84,CONECTA_CON,Ubicacion,1628,1.07,1.1
Ubicacion,84,CONECTA_CON,Ubicacion,1643,9.73,20.05
Ubicacion,84,CONECTA_CON,Ubicacion,3502,4.91,5.65
Ubicacion,85,CONECTA_CON,Ubicacion,2217,8.82,24.13
Ubicacion,85,CONECTA_CON,Ubicacion,2122,9.49,11.19
Ubicacion,85,CONECTA_CON,Ubicacion,2790,4.15,4.8
Ubicacion,86,CONECTA_CON,Ubicacion,2416,4.6,10.39
Ubicacion,86,CONECTA_CON,Ubicacion,4287,1.86,4.07
Ubicacion,86,CONECTA_CON,Ubicacion,3335,9.94,9.96
Ubicacion,87,CONECTA_CON,Ubicacion,4168,6.66,11.27
Ubicacion,87,CONECTA_CON,Ubicacion,1998,7.3,8.99
Ubicacion,87,CONECTA_CON,Ubicacion,4247,8.37,16.3
Ubicacion,88,CONECTA_CON,Ubicacion,4060,9.03,26.04
Ubicacion,88,CONECTA_CON,Ubicacion,983,0.61,0.66
Ubicacion,88,CONECTA_CON,Ubicacion,1052,5.54,11.06
Ubicacion,89,CONECTA_CON,Ubicacion,3963,8.78,9.78
Ubicacion,89,CONECTA_CON,Ubicacion,2581,6.06,9.4
Ubicacion,89,CONECTA_CON,Ubicacion,237,4.65,5.7
Ubicacion,90,CONECTA_CON,Ubicacion,1015,7.71,9.08
Ubicacion,90,CONECTA_CON,Ubicacion,2691,7.32,8.8
Ubicacion,90,CONECTA_CON,Ubicacion,196,6.19,17.72
Ubicacion,91,CONECTA_CON,Ubicacion,1791,6.07,7.2
Ubicacion,91,CONECTA_CON,Ubicacion,4312,4.3,10.01
Ubicacion,91,CONECTA_CON,Ubicacion,423,0.94,1.62
Ubicacion,92,CONECTA_CON,Ubicacion,3307,8.71,14.02
Ubicacion,92,CONECTA_CON,Ubicacion,1666,8.04,10.58
Ubicacion,92,CONECTA_CON,Ubicacion,2976,7.15,7.62
Ubicacion,93,CONECTA_CON,Ubicacion,4463,9.51,14.75
Ubicacion,93,CONECTA_CON,Ubicacion,3300,1.86,2.31
Ubicacion,93,CONECTA_CON,Ubicacion,3525,2.79,2.82
Ubicacion,94,CONECTA_CON,Ubicacion,2643,1.28,2.39
Ubicacion,94,CONECTA_CON,Ubicacion,3988,3.76,5.24
Ubicacion,94,CONECTA_CON,Ubicacion,2737,9.25,21.05
Ubicacion,95,CONECTA_CON,Ubicacion,3257,2.08,2.72
Ubicacion,95,CONECTA_CON,Ubicacion,4227,2.94,6.8
Ubicacion,95,CONECTA_CON,Ubicacion,1742,7.02,7.66
Ubicacion,96,CONECTA_CON,Ubicacion,3470,9.91,16.31
Ubicacion,96,CONECTA_CON,Ubicacion,1234,2.81,4.24
Ubicacion,96,CONECTA_CON,Ubicacion,4618,9.14,14.6
Ubicacion,97,CONECTA_CON,Ubicacion,4689,3.89,5.94
Ubicacion,97,CONECTA_CON,Ubicacion,2650,1.28,2.68
Ubicacion,97,CONECTA_CON,Ubicacion,2115,6.35,18.39
Ubicacion,98,CONECTA_CON,Ubicacion,2484,1.23,1.42
Ubicacion,98,CONECTA_CON,Ubicacion,3770,7.61,12.02
Ubicacion,98,CONECTA_CON,Ubicacion,37,7.58,19.32
Ubicacion,99,CONECTA_CON,Ubicacion,4643,7.75,13.84
Ubicacion,99,CONECTA_CON,Ubicacion,4806,7.61,9.45
Ubicacion,99,CONECTA_CON,Ubicacion,2309,9.54,11.62
Ubicacion,100,CONECTA_CON,Ubicacion,323,5.38,11.7
Ubicacion,100,CONECTA_CON,Ubicacion,1759,6.6,7.36
Ubicacion,100,CONECTA_CON,Ubicacion,2973,8.49,10.26
Ubicacion,101,CONECTA_CON,Ubicacion,2812,2.18,3.85
Ubicacion,101,CONECTA_CON,Ubicacion,1484,5.54,6.61
Ubicacion,101,CONECTA_CON,Ubicacion,1509,9.26,11.24
Ubicacion,102,CONECTA_CON,Ubicacion,1269,4.51,5.87
Ubicacion,102,CONECTA_CON,Ubicacion,2669,3.69,5.66
Ubicacion,102,CONECTA_CON,Ubicacion,2972,8.0,8.07
Ubicacion,103,CONECTA_CON,Ubicacion,575,3.29,9.11
Ubicacion,103,CONECTA_CON,Ubicacion,2602,9.93,15.9
Ubicacion,103,CONECTA_CON,Ubicacion,4522,3.77,3.78
Ubicacion,104,CONECTA_CON,Ubicacion,3454,0.73,0.8
Ubicacion,104,CONECTA_CON,Ubicacion,2473,9.29,9.45
Ubicacion,104,CONECTA_CON,Ubicacion,83,4.83,7.53
Ubicacion,105,CONECTA_CON,Ubicacion,1211,6.19,8.86
Ubicacion,105,CONECTA_CON,Ubicacion,4358,0.61,0.86
Ubicacion,105,CONECTA_CON,Ubicacion,845,7.18,9.78
Ubicacion,106,CONECTA_CON,Ubicacion,2169,7.28,16.6
Ubicacion,106,CONECTA_CON,Ubicacion,2414,3.24,6.44
Ubicacion,106,CONECTA_CON,Ubicacion,3959,9.59,21.21
Ubicacion,107,CONECTA_CON,Ubicacion,3161,3.7,6.98
Ubicacion,107,CONECTA_CON,Ubicacion,2330,8.24,20.03
Ubicacion,107,CONECTA_CON,Ubicacion,383,2.98,3.11
Ubicacion,108,CONECTA_CON,Ubicacion,3097,6.93,8.06
Ubicacion,108,CONECTA_CON,Ubicacion,1767,4.7,4.75
Ubicacion,108,CONECTA_CON,Ubicacion,733,3.76,5.35
Ubicacion,109,CONECTA_CON,Ubicacion,475,9.34,9.48
Ubicacion,109,CONECTA_CON,Ubicacion,1226,5.65,8.79
Ubicacion,109,CONECTA_CON,Ubicacion,930,5.41,10.53
Ubicacion,110,CONECTA_CON,Ubicacion,1943,3.66,8.18
Ubicacion,110,CONECTA_CON,Ubicacion,4908,8.54,17.93
Ubicacion,110,CONECTA_CON,Ubicacion,1112,9.61,21.01
Ubicacion,111,CONECTA_CON,Ubicacion,4497,5.51,7.25
Ubicacion,111,CONECTA_CON,Ubicacion,4227,4.25,5.38
Ubicacion,111,CONECTA_CON,Ubicacion,3671,2.71,5.82
Ubicacion,112,CONECTA_CON,Ubicacion,1307,2.6,2.81
Ubicacion,112,CONECTA_CON,Ubicacion,2377,9.09,15.41
Ubicacion,112,CONECTA_CON,Ubicacion,2703,4.47,8.57
Ubicacion,113,CONECTA_CON,Ubicacion,2442,7.95,10.91
Ubicacion,113,CONECTA_CON,Ubicacion,530,6.6,8.63
Ubicacion,113,CONECTA_CON,Ubicacion,3695,5.86,10.06
Ubicacion,114,CONECTA_CON,Ubicacion,4177,3.04,6.0
Ubicacion,114,CONECTA_CON,Ubicacion,2687,2.5,3.08
Ubicacion,114,CONECTA_CON,Ubicacion,3752,2.54,4.15
Ubicacion,115,CONECTA_CON,Ubicacion,3958,2.5,6.93
Ubicacion,115,CONECTA_CON,Ubicacion,894,5.74,13.31
Ubicacion,115,CONECTA_CON,Ubicacion,1085,6.01,15.65
Ubicacion,116,CONECTA_CON,Ubicacion,3737,8.08,14.74
Ubicacion,116,CONECTA_CON,Ubicacion,506,9.61,12.98
Ubicacion,116,CONECTA_CON,Ubicacion,2979,8.27,15.48
Ubicacion,117,CONECTA_CON,Ubicacion,4331,3.16,8.74
Ubicacion,117,CONECTA_CON,Ubicacion,1825,2.69,4.16
Ubicacion,117,CONECTA_CON,Ubicacion,3528,1.96,2.18
Ubicacion,118,CONECTA_CON,Ubicacion,142,5.82,12.48
Ubicacion,118,CONECTA_CON,Ubicacion,2967,6.66,8.77
Ubicacion,118,CONECTA_CON,Ubicacion,3466,3.17,7.44
Ubicacion,119,CONECTA_CON,Ubicacion,3067,7.53,9.14
Ubicacion,119,CONECTA_CON,Ubicacion,1242,8.14,15.81
Ubicacion,119,CONECTA_CON,Ubicacion,3930,6.8,18.85
Ubicacion,120,CONECTA_CON,Ubicacion,7,8.03,8.04
Ubicacion,120,CONECTA_CON,Ubicacion,4428,7.4,18.29
Ubicacion,120,CONECTA_CON,Ubicacion,364,2.96,3.44
Ubicacion,121,CONECTA_CON,Ubicacion,2284,6.95,9.38
Ubicacion,121,CONECTA_CON,Ubicacion,3341,9.29,19.96
Ubicacion,121,CONECTA_CON,Ubicacion,3368,8.16,8.54
Ubicacion,122,CONECTA_CON,Ubicacion,2055,5.51,7.83
Ubicacion,122,CONECTA_CON,Ubicacion,1429,4.59,8.67
Ubicacion,122,CONECTA_CON,Ubicacion,785,6.0,13.18
Ubicacion,123,CONECTA_CON,Ubicacion,162,6.73,9.9
Ubicacion,123,CONECTA_CON,Ubicacion,1009,7.15,9.19
Ubicacion,123,CONECTA_CON,Ubicacion,3858,0.89,1.8
Ubicacion,124,CONECTA_CON,Ubicacion,4286,6.71,8.29
Ubicacion,124,CONECTA_CON,Ubicacion,3195,4.3,6.63
Ubicacion,124,CONECTA_CON,Ubicacion,2395,7.12,11.27
Ubicacion,125,CONECTA_CON,Ubicacion,3273,0.71,1.09
Ubicacion,125,CONECTA_CON,Ubicacion,65,8.97,20.27
Ubicacion,125,CONECTA_CON,Ubicacion,4213,3.93,5.25
Ubicacion,126,CONECTA_CON,Ubicacion,3685,7.81,10.88
Ubicacion,126,CONECTA_CON,Ubicacion,3462,7.46,18.12
Ubicacion,126,CONECTA_CON,Ubicacion,1491,6.84,7.73
Ubicacion,127,CONECTA_CON,Ubicacion,4958,8.47,9.89
Ubicacion,127,CONECTA_CON,Ubicacion,514,6.64,8.48
Ubicacion,127,CONECTA_CON,Ubicacion,2066,7.08,11.83
Ubicacion,128,CONECTA_CON,Ubicacion,1910,2.45,2.8
Ubicacion,128,CONECTA_CON,Ubicacion,133,7.41,10.9
Ubicacion,128,CONECTA_CON,Ubicacion,9,8.17,15.54
Ubicacion,129,CONECTA_CON,Ubicacion,3021,9.98,11.06
Ubicacion,129,CONECTA_CON,Ubicacion,287,6.2,8.6
Ubicacion,129,CONECTA_CON,Ubicacion,285,4.65,7.5
Ubicacion,130,CONECTA_CON,Ubicacion,2361,8.45,11.44
