id,nombre,direccion,owner_id
res_0087,Kramer-Cooper,"520 Payne Via, Port Kimberly, UT 63223",own_0162
res_0088,"White, Taylor and Baldwin","USS Carter, FPO AE 26645",own_0109
res_0089,Stewart LLC,"0345 Michelle Isle Suite 156, Paulfurt, HI 65539",own_0256
res_0090,"Jimenez, Glass and Stone","69284 Garcia Islands Suite 479, Jacksonmouth, NV 06052",own_0203
res_0091,"Berg, Gomez and Bolton","65820 Melinda Springs, Johnsonland, WI 85063",own_0235
res_0092,Cox-Herring,"755 Hines Ports, New Michael, SD 37029",own_0074
res_0093,Horne Inc,"681 Hampton Squares Suite 394, Gonzalezberg, CA 59751",own_0136
res_0094,Roach Group,"Unit 5518 Box 8442, DPO AP 93504",own_0072
res_0095,"Little, Leon and Hicks","37058 Mcdonald Plaza, New Nicole, ME 52688",own_0127
res_0096,"Higgins, Fox and Hammond","51778 Anderson Village, Port Tammy, NY 07764",own_0288
res_0097,Holmes LLC,"358 Singleton Glen Apt. 842, Christinaland, SD 22604",own_0276
res_0098,"David, Moore and Hopkins","001 Stacy Trail Suite 396, South Pamelaside, SD 40097",own_0135
res_0099,Sanchez-Aguirre,"02767 Harris Rest Apt. 555, Andersonstad, OH 14418",own_0300
res_0100,Allen-Martinez,"04696 Sydney Estate, Sarahmouth, WV 21386",own_0220
