id,id_usuario,id_restaurante,fecha,estado
ped_00059,user_0401,res_0006,2023-12-13,cancelado
ped_00060,user_0220,res_0085,2024-01-29,entregado
ped_00061,user_0260,res_0083,2023-11-30,entregado
ped_00062,user_0435,res_0054,2026-08-12,pendiente
ped_00063,user_0055,res_0056,2027-05-22,pendiente
ped_00064,user_0326,res_0059,2025-12-19,entregado
ped_00065,user_0223,res_0023,2026-02-11,cancelado
ped_00066,user_0495,res_0084,2023-07-08,cancelado
ped_00067,user_0414,res_0069,2026-05-06,pendiente
ped_00068,user_0239,res_0056,2026-08-19,cancelado
ped_00069,user_0304,res_0035,2023-10-23,entregado
ped_00070,user_0426,res_0012,2023-07-26,pendiente
ped_00071,user_0125,res_0097,2024-08-09,cancelado
ped_00072,user_0313,res_0086,2024-02-16,pendiente
ped_00073,user_0015,res_0064,2026-10-09,pendiente
ped_00074,user_0094,res_0063,2023-03-11,pendiente
ped_00075,user_0409,res_0034,2023-11-29,pendiente
ped_00076,user_0451,res_0077,2025-12-07,pendiente
ped_00077,user_0285,res_0002,2024-11-24,entregado
ped_00078,user_0044,res_0031,2026-01-14,pendiente
ped_00079,user_0251,res_0072,2026-04-02,entregado
ped_00080,user_0354,res_0061,2025-08-15,cancelado
ped_00081,user_0252,res_0058,2026-06-12,entregado
ped_00082,user_0048,res_0038,2023-03-30,pendiente
ped_00083,user_0355,res_0032,2023-09-20,cancelado
ped_00084,user_0298,res_0048,2024-08-27,cancelado
ped_00085,user_0272,res_0045,2024-05-21,cancelado
ped_00086,user_0282,res_0043,2023-12-22,cancelado
ped_00087,user_0233,res_0035,2023-09-20,pendiente
ped_00088,user_0119,res_0016,2026-01-17,entregado
ped_00089,user_0162,res_0016,2026-03-02,cancelado
ped_00090,user_0487,res_0098,2025-11-14,entregado
ped_00091,user_0099,res_0028,2026-02-21,pendiente
ped_00092,user_0142,res_0093,2025-04-22,cancelado
ped_00093,user_0306,res_0037,2022-07-25,entregado
ped_00094,user_0152,res_0030,2024-01-10,entregado
ped_00095,user_0155,res_0002,2025-12-21,cancelado
ped_00096,user_0065,res_0036,2022-04-04,entregado
ped_00097,user_0284,res_0038,2025-11-29,entregado
ped_00098,user_0327,res_0097,2024-10-02,entregado
ped_00099,user_0447,res_0002,2025-03-21,pendiente
ped_00100,user_0241,res_0062,2024-06-21,pendiente
ped_00101,user_0095,res_0007,2023-06-02,pendiente
ped_00102,user_0059,res_0009,2024-03-31,pendiente
ped_00103,user_0038,res_0074,2025-07-13,cancelado
ped_00104,user_0028,res_0020,2022-11-02,cancelado
ped_00105,user_0486,res_0039,2022-06-24,entregado
ped_00106,user_0061,res_0072,2026-04-15,pendiente
ped_00107,user_0311,res_0077,2026-06-08,cancelado
ped_00108,user_0116,res_0100,2024-12-06,pendiente
ped_00109,user_0231,res_0057,2023-09-01,cancelado
ped_00110,user_0220,res_0040,2025-03-10,cancelado
ped_00111,user_0031,res_0079,2027-05-21,cancelado
ped_00112,user_0051,res_0098,2023-03-02,cancelado
ped_00113,user_0109,res_0034,2025-09-14,entregado
ped_00114,user_0081,res_0031,2022-12-22,cancelado
ped_00115,user_0039,res_0021,2022-01-06,pendiente
ped_00116,user_0231,res_0089,2025-05-01,pendiente
ped_00117,user_0150,res_0005,2023-04-20,pendiente
ped_00118,user_0362,res_0037,2025-12-10,pendiente
ped_00119,user_0037,res_0088,2023-04-24,pendiente
ped_00120,user_0404,res_0081,2025-04-22,cancelado
ped_00121,user_0412,res_0026,2024-05-20,entregado
ped_00122,user_0279,res_0029,2025-08-19,entregado
ped_00123,user_0466,res_0035,2026-08-20,entregado
ped_00124,user_0037,res_0008,2022-12-06,pendiente
ped_00125,user_0305,res_0096,2026-08-16,cancelado
ped_00126,user_0472,res_0037,2024-06-18,entregado
ped_00127,user_0240,res_0089,2023-09-15,cancelado
ped_00128,user_0207,res_0035,2024-10-21,cancelado
ped_00129,user_0253,res_0057,2022-06-14,cancelado
ped_00130,user_0021,res_0056,2026-02-13,pendiente
ped_00131,user_0310,res_0033,2022-02-22,entregado
ped_00132,user_0118,res_0087,2026-09-09,cancelado
ped_00133,user_0301,res_0003,2026-04-16,cancelado
ped_00134,user_0421,res_0035,2025-03-26,entregado
ped_00135,user_0391,res_0097,2022-12-25,pendiente
ped_00136,user_0266,res_0084,2024-06-24,pendiente
ped_00137,user_0093,res_0075,2024-06-11,cancelado
ped_00138,user_0417,res_0063,2027-06-08,entregado
ped_00139,user_0241,res_0045,2024-04-16,pendiente
ped_00140,user_0165,res_0086,2022-08-03,entregado
ped_00141,user_0169,res_0053,2025-11-21,pendiente
ped_00142,user_0148,res_0085,2027-04-20,pendiente
ped_00143,user_0417,res_0098,2025-01-31,entregado
ped_00144,user_0233,res_0012,2023-10-07,pendiente
ped_00145,user_0166,res_0015,2027-06-10,pendiente
ped_00146,user_0443,res_0066,2026-08-17,entregado
ped_00147,user_0337,res_0070,2024-08-04,pendiente
ped_00148,user_0028,res_0025,2024-11-27,pendiente
ped_00149,user_0319,res_0097,2024-10-17,cancelado
ped_00150,user_0227,res_0098,2022-04-16,entregado
ped_00151,user_0137,res_0071,2022-09-26,pendiente
ped_00152,user_0225,res_0090,2024-09-19,entregado
ped_00153,user_0015,res_0081,2025-05-31,entregado
ped_00154,user_0364,res_0021,2023-09-29,cancelado
ped_00155,user_0008,res_0071,2024-04-15,entregado
ped_00156,user_0116,res_0015,2024-08-03,entregado
ped_00157,user_0332,res_0020,2024-10-17,cancelado
ped_00158,user_0150,res_0066,2025-12-15,pendiente
ped_00159,user_0213,res_0062,2024-08-25,entregado
ped_00160,user_0234,res_0071,2022-10-24,pendiente
ped_00161,user_0098,res_0077,2024-11-06,cancelado
ped_00162,user_0451,res_0018,2026-11-05,entregado
ped_00163,user_0142,res_0099,2026-06-06,pendiente
ped_00164,user_0175,res_0065,2023-07-02,entregado
ped_00165,user_0145,res_0093,2023-09-04,cancelado
ped_00166,user_0297,res_0085,2024-09-29,entregado
ped_00167,user_0229,res_0069,2024-09-18,pendiente
ped_00168,user_0171,res_0071,2026-04-12,cancelado
ped_00169,user_0194,res_0059,2027-03-26,pendiente
ped_00170,user_0446,res_0025,2025-11-29,entregado
ped_00171,user_0293,res_0050,2023-04-24,pendiente
ped_00172,user_0023,res_0041,2026-03-06,pendiente
ped_00173,user_0362,res_0049,2024-03-01,cancelado
ped_00174,user_0406,res_0084,2022-11-08,pendiente
ped_00175,user_0494,res_0005,2022-09-16,cancelado
ped_00176,user_0495,res_0076,2023-11-11,entregado
ped_00177,user_0448,res_0057,2022-07-24,cancelado
ped_00178,user_0467,res_0059,2022-02-01,cancelado
ped_00179,user_0074,res_0053,2026-11-19,cancelado
ped_00180,user_0497,res_0020,2022-06-03,pendiente
ped_00181,user_0401,res_0034,2023-11-25,cancelado
ped_00182,user_0355,res_0051,2025-08-23,entregado
ped_00183,user_0437,res_0043,2026-10-12,cancelado
ped_00184,user_0440,res_0069,2024-02-18,pendiente
ped_00185,user_0321,res_0092,2026-12-23,pendiente
ped_00186,user_0447,res_0070,2022-03-15,cancelado
ped_00187,user_0036,res_0031,2025-07-16,cancelado
ped_00188,user_0472,res_0037,2023-04-11,cancelado
ped_00189,user_0047,res_0056,2022-07-21,cancelado
ped_00190,user_0361,res_0013,2024-06-27,entregado
ped_00191,user_0356,res_0039,2027-01-25,entregado
ped_00192,user_0024,res_0042,2026-06-19,entregado
ped_00193,user_0151,res_0046,2024-02-07,pendiente
ped_00194,user_0075,res_0032,2024-12-23,pendiente
ped_00195,user_0290,res_0088,2026-06-12,entregado
ped_00196,user_0088,res_0023,2022-06-11,cancelado
ped_00197,user_0446,res_0049,2025-06-23,cancelado
ped_00198,user_0124,res_0064,2027-02-13,cancelado
ped_00199,user_0074,res_0030,2024-08-02,cancelado
ped_00200,user_0131,res_0059,2023-06-07,cancelado
ped_00201,user_0005,res_0060,2027-01-20,pendiente
ped_00202,user_0347,res_0070,2022-11-20,entregado
ped_00203,user_0227,res_0045,2025-04-18,pendiente
ped_00204,user_0328,res_0055,2025-11-14,pendiente
ped_00205,user_0234,res_0039,2023-02-12,pendiente
ped_00206,user_0437,res_0062,2022-08-07,entregado
ped_00207,user_0196,res_0074,2024-01-06,cancelado
ped_00208,user_0152,res_0090,2023-08-28,entregado
ped_00209,user_0425,res_0085,2024-03-21,pendiente
ped_00210,user_0005,res_0073,2026-11-07,cancelado
ped_00211,user_0399,res_0096,2027-06-17,entregado
ped_00212,user_0467,res_0078,2026-03-07,pendiente
ped_00213,user_0427,res_0037,2026-05-08,entregado
ped_00214,user_0311,res_0046,2023-03-25,cancelado
ped_00215,user_0098,res_0080,2023-05-29,cancelado
ped_00216,user_0387,res_0093,2026-04-21,cancelado
ped_00217,user_0349,res_0018,2025-07-10,entregado
ped_00218,user_0463,res_0081,2025-08-16,entregado
ped_00219,user_0159,res_0057,2022-03-10,cancelado
ped_00220,user_0187,res_0094,2022-09-27,entregado
ped_00221,user_0466,res_0038,2023-11-01,cancelado
ped_00222,user_0213,res_0023,2023-02-16,entregado
ped_00223,user_0403,res_0070,2026-11-30,pendiente
ped_00224,user_0272,res_0065,2027-02-14,pendiente
ped_00225,user_0426,res_0022,2023-06-11,pendiente
ped_00226,user_0496,res_0038,2026-03-09,pendiente
ped_00227,user_0412,res_0015,2024-08-17,entregado
ped_00228,user_0073,res_0097,2027-06-03,entregado
ped_00229,user_0441,res_0087,2026-01-23,cancelado
ped_00230,user_0204,res_0072,2024-01-20,entregado
ped_00231,user_0405,res_0051,2022-01-29,pendiente
ped_00232,user_0275,res_0016,2024-07-20,pendiente
ped_00233,user_0345,res_0096,2025-10-08,pendiente
ped_00234,user_0300,res_0049,2026-08-12,cancelado
ped_00235,user_0482,res_0048,2022-08-10,cancelado
ped_00236,user_0120,res_0061,2022-02-21,cancelado
ped_00237,user_0453,res_0072,2023-11-03,cancelado
ped_00238,user_0114,res_0083,2022-05-10,cancelado
ped_00239,user_0422,res_0060,2027-02-06,cancelado
ped_00240,user_0155,res_0084,2024-04-16,entregado
ped_00241,user_0072,res_0006,2027-04-22,entregado
ped_00242,user_0156,res_0064,2022-08-26,entregado
ped_00243,user_0121,res_0069,2022-10-05,pendiente
ped_00244,user_0233,res_0048,2025-10-05,cancelado
ped_00245,user_0357,res_0070,2024-05-08,cancelado
ped_00246,user_0381,res_0094,2022-11-13,pendiente
ped_00247,user_0336,res_0013,2026-09-04,pendiente
ped_00248,user_0316,res_0053,2027-04-08,pendiente
ped_00249,user_0017,res_0089,2024-01-29,entregado
ped_00250,user_0228,res_0057,2027-05-01,entregado
ped_00251,user_0438,res_0047,2022-07-23,cancelado
ped_00252,user_0189,res_0070,2027-01-21,cancelado
ped_00253,user_0184,res_0008,2024-03-26,pendiente
ped_00254,user_0098,res_0016,2027-04-28,pendiente
ped_00255,user_0047,res_0085,2023-03-11,cancelado
ped_00256,user_0328,res_0077,2027-06-12,entregado
ped_00257,user_0026,res_0043,2023-05-14,entregado
ped_00258,user_0403,res_0073,2023-02-25,entregado
ped_00259,user_0425,res_0098,2025-02-09,entregado
ped_00260,user_0301,res_0028,2026-07-24,entregado
ped_00261,user_0169,res_0100,2022-10-30,cancelado
ped_00262,user_0002,res_0036,2026-10-25,entregado
ped_00263,user_0067,res_0070,2023-05-29,entregado
ped_00264,user_0057,res_0085,2026-11-10,entregado
ped_00265,user_0068,res_0002,2024-01-04,entregado
ped_00266,user_0302,res_0042,2022-02-02,entregado
ped_00267,user_0136,res_0007,2022-09-17,cancelado
ped_00268,user_0216,res_0068,2022-08-21,cancelado
ped_00269,user_0033,res_0061,2024-07-07,pendiente
ped_00270,user_0263,res_0076,2022-08-12,pendiente
ped_00271,user_0258,res_0029,2027-04-21,cancelado
ped_00272,user_0023,res_0094,2026-05-24,cancelado
ped_00273,user_0267,res_0039,2024-07-27,cancelado
ped_00274,user_0494,res_0004,2022-05-05,pendiente
ped_00275,user_0434,res_0052,2024-05-23,cancelado
ped_00276,user_0056,res_0063,2025-12-29,pendiente
ped_00277,user_0038,res_0011,2023-10-22,cancelado
ped_00278,user_0076,res_0009,2022-09-16,pendiente
ped_00279,user_0320,res_0082,2025-04-13,cancelado
ped_00280,user_0365,res_0042,2024-02-20,cancelado
ped_00281,user_0272,res_0038,2024-07-18,cancelado
ped_00282,user_0310,res_0056,2022-07-23,cancelado
ped_00283,user_0059,res_0084,2025-08-26,cancelado
ped_00284,user_0370,res_0028,2024-05-30,pendiente
ped_00285,user_0455,res_0030,2024-04-27,pendiente
ped_00286,user_0424,res_0059,2024-03-27,pendiente
ped_00287,user_0374,res_0013,2023-10-03,pendiente
ped_00288,user_0161,res_0086,2023-06-07,pendiente
ped_00289,user_0489,res_0020,2025-11-07,pendiente
ped_00290,user_0035,res_0012,2026-08-31,entregado
ped_00291,user_0048,res_0056,2022-07-17,cancelado
ped_00292,user_0379,res_0048,2026-07-21,entregado
ped_00293,user_0285,res_0008,2025-04-16,cancelado
ped_00294,user_0288,res_0043,2025-10-04,entregado
ped_00295,user_0211,res_0046,2026-11-25,cancelado
ped_00296,user_0482,res_0097,2024-05-16,cancelado
ped_00297,user_0027,res_0037,2025-05-14,pendiente
ped_00298,user_0181,res_0014,2025-03-29,cancelado
ped_00299,user_0109,res_0020,2025-09-06,pendiente
ped_00300,user_0115,res_0014,2023-12-19,cancelado
ped_00301,user_0189,res_0015,2026-04-11,pendiente
ped_00302,user_0294,res_0029,2026-07-12,pendiente
ped_00303,user_0433,res_0072,2027-06-19,cancelado
ped_00304,user_0315,res_0087,2025-08-09,cancelado
ped_00305,user_0014,res_0078,2027-03-18,cancelado
ped_00306,user_0425,res_0089,2023-07-02,entregado
ped_00307,user_0093,res_0035,2025-12-10,pendiente
ped_00308,user_0472,res_0044,2023-12-20,entregado
ped_00309,user_0093,res_0019,2025-03-05,cancelado
ped_00310,user_0206,res_0009,2022-10-18,cancelado
ped_00311,user_0325,res_0004,2022-07-07,cancelado
ped_00312,user_0272,res_0028,2024-02-10,pendiente
ped_00313,user_0233,res_0044,2022-11-19,pendiente
ped_00314,user_0160,res_0093,2023-10-27,cancelado
ped_00315,user_0306,res_0011,2026-12-15,entregado
ped_00316,user_0080,res_0021,2026-03-26,cancelado
ped_00317,user_0026,res_0087,2022-06-17,pendiente
ped_00318,user_0227,res_0085,2024-05-18,pendiente
ped_00319,user_0311,res_0057,2024-04-28,pendiente
ped_00320,user_0111,res_0097,2024-11-15,entregado
ped_00321,user_0177,res_0056,2022-08-16,pendiente
ped_00322,user_0348,res_0087,2025-04-29,pendiente
ped_00323,user_0270,res_0086,2023-09-24,entregado
ped_00324,user_0113,res_0051,2025-05-12,entregado
ped_00325,user_0004,res_0027,2023-09-10,entregado
ped_00326,user_0393,res_0018,2026-04-15,pendiente
ped_00327,user_0149,res_0042,2022-09-03,entregado
ped_00328,user_0255,res_0096,2024-05-31,entregado
ped_00329,user_0067,res_0049,2024-12-26,cancelado
ped_00330,user_0118,res_0065,2025-02-18,cancelado
ped_00331,user_0413,res_0046,2022-05-28,pendiente
ped_00332,user_0442,res_0095,2022-03-28,pendiente
ped_00333,user_0010,res_0059,2027-03-02,entregado
ped_00334,user_0442,res_0041,2025-03-25,pendiente
ped_00335,user_0294,res_0052,2025-12-24,cancelado
ped_00336,user_0214,res_0038,2022-08-24,pendiente
ped_00337,user_0011,res_0042,2022-12-18,cancelado
ped_00338,user_0236,res_0089,2027-02-27,pendiente
ped_00339,user_0046,res_0056,2026-09-26,entregado
ped_00340,user_0125,res_0056,2025-04-21,pendiente
ped_00341,user_0269,res_0011,2024-03-21,pendiente
ped_00342,user_0382,res_0044,2023-03-30,pendiente
ped_00343,user_0399,res_0022,2022-06-06,cancelado
ped_00344,user_0325,res_0015,2024-12-22,cancelado
ped_00345,user_0100,res_0100,2023-12-17,pendiente
ped_00346,user_0373,res_0083,2026-07-28,entregado
ped_00347,user_0121,res_0014,2022-10-27,pendiente
ped_00348,user_0102,res_0023,2025-05-18,entregado
ped_00349,user_0390,res_0098,2025-09-04,entregado
ped_00350,user_0091,res_0099,2025-07-10,pendiente
ped_00351,user_0238,res_0097,2025-02-28,cancelado
ped_00352,user_0230,res_0088,2027-03-08,cancelado
ped_00353,user_0330,res_0082,2025-07-03,pendiente
ped_00354,user_0443,res_0081,2023-10-10,entregado
ped_00355,user_0226,res_0009,2024-08-18,pendiente
ped_00356,user_0324,res_0039,2026-06-19,pendiente
ped_00357,user_0303,res_0008,2023-12-22,cancelado
ped_00358,user_0038,res_0040,2024-08-03,pendiente
ped_00359,user_0020,res_0008,2024-01-26,pendiente
ped_00360,user_0040,res_0083,2026-11-05,entregado
ped_00361,user_0315,res_0077,2024-11-04,pendiente
ped_00362,user_0237,res_0075,2025-02-09,cancelado
ped_00363,user_0459,res_0006,2024-07-10,cancelado
ped_00364,user_0334,res_0025,2023-10-21,cancelado
ped_00365,user_0244,res_0065,2022-11-05,entregado
ped_00366,user_0231,res_0014,2026-07-19,pendiente
ped_00367,user_0366,res_0011,2024-10-30,cancelado
ped_00368,user_0089,res_0006,2023-05-23,cancelado
ped_00369,user_0225,res_0057,2024-12-09,cancelado
ped_00370,user_0313,res_0021,2024-01-16,pendiente
ped_00371,user_0470,res_0037,2024-03-04,pendiente
ped_00372,user_0397,res_0044,2025-10-22,cancelado
ped_00373,user_0027,res_0081,2025-08-18,pendiente
ped_00374,user_0034,res_0043,2022-07-13,cancelado
ped_00375,user_0348,res_0050,2023-08-05,pendiente
ped_00376,user_0371,res_0085,2027-05-30,cancelado
ped_00377,user_0448,res_0020,2023-11-14,entregado
ped_00378,user_0299,res_0085,2022-10-17,pendiente
ped_00379,user_0159,res_0084,2025-12-01,cancelado
ped_00380,user_0201,res_0017,2025-05-03,cancelado
ped_00381,user_0481,res_0011,2023-09-27,cancelado
ped_00382,user_0193,res_0083,2026-06-10,pendiente
ped_00383,user_0417,res_0017,2025-10-04,cancelado
ped_00384,user_0425,res_0095,2025-11-04,cancelado
ped_00385,user_0048,res_0083,2025-10-05,pendiente
ped_00386,user_0261,res_0047,2022-02-07,pendiente
ped_00387,user_0159,res_0024,2027-05-02,entregado
ped_00388,user_0175,res_0099,2024-09-22,entregado
ped_00389,user_0116,res_0018,2022-11-14,entregado
ped_00390,user_0152,res_0013,2024-11-05,cancelado
ped_00391,user_0428,res_0095,2026-12-15,cancelado
ped_00392,user_0020,res_0085,2023-11-21,cancelado
ped_00393,user_0068,res_0077,2024-02-11,entregado
ped_00394,user_0084,res_0024,2026-08-30,cancelado
ped_00395,user_0395,res_0080,2026-07-15,entregado
ped_00396,user_0370,res_0057,2022-03-31,pendiente
ped_00397,user_0187,res_0087,2026-01-13,entregado
ped_00398,user_0497,res_0057,2025-06-04,pendiente
ped_00399,user_0386,res_0096,2026-05-25,pendiente
ped_00400,user_0120,res_0069,2023-05-05,pendiente
ped_00401,user_0495,res_0061,2027-01-26,entregado
ped_00402,user_0189,res_0087,2027-04-24,cancelado
ped_00403,user_0226,res_0060,2026-04-25,pendiente
ped_00404,user_0399,res_0049,2024-10-26,cancelado
ped_00405,user_0215,res_0021,2026-07-31,entregado
ped_00406,user_0411,res_0078,2022-10-11,pendiente
ped_00407,user_0027,res_0083,2024-09-11,pendiente
ped_00408,user_0284,res_0014,2025-12-27,cancelado
ped_00409,user_0436,res_0016,2023-08-07,entregado
ped_00410,user_0391,res_0021,2023-07-13,pendiente
ped_00411,user_0464,res_0066,2022-10-29,pendiente
ped_00412,user_0047,res_0029,2026-07-31,pendiente
ped_00413,user_0453,res_0045,2027-03-21,entregado
ped_00414,user_0213,res_0007,2024-03-22,cancelado
ped_00415,user_0192,res_0031,2024-03-01,entregado
ped_00416,user_0192,res_0029,2022-02-27,pendiente
ped_00417,user_0477,res_0013,2026-09-15,cancelado
ped_00418,user_0333,res_0043,2026-06-09,entregado
ped_00419,user_0071,res_0005,2023-08-11,pendiente
ped_00420,user_0357,res_0018,2026-04-04,cancelado
ped_00421,user_0241,res_0058,2025-06-14,entregado
ped_00422,user_0464,res_0011,2022-02-08,pendiente
ped_00423,user_0111,res_0020,2025-01-28,cancelado
ped_00424,user_0312,res_0068,2024-05-16,entregado
ped_00425,user_0398,res_0037,2023-05-02,pendiente
ped_00426,user_0063,res_0007,2023-05-04,pendiente
ped_00427,user_0328,res_0080,2024-07-25,entregado
ped_00428,user_0057,res_0064,2025-05-07,cancelado
ped_00429,user_0009,res_0081,2024-11-21,cancelado
ped_00430,user_0124,res_0092,2022-10-22,pendiente
ped_00431,user_0220,res_0001,2025-06-13,pendiente
ped_00432,user_0124,res_0074,2024-05-03,entregado
ped_00433,user_0341,res_0086,2022-06-25,cancelado
ped_00434,user_0500,res_0047,2022-05-19,cancelado
ped_00435,user_0279,res_0065,2026-05-30,cancelado
ped_00436,user_0284,res_0003,2024-03-10,pendiente
ped_00437,user_0023,res_0082,2024-03-03,pendiente
ped_00438,user_0130,res_0096,2022-02-03,pendiente
ped_00439,user_0404,res_0009,2023-12-08,entregado
ped_00440,user_0376,res_0085,2025-07-10,entregado
ped_00441,user_0396,res_0075,2026-02-14,pendiente
ped_00442,user_0069,res_0006,2023-12-23,cancelado
ped_00443,user_0174,res_0083,2022-12-25,cancelado
ped_00444,user_0238,res_0090,2024-09-07,cancelado
ped_00445,user_0094,res_0018,2022-05-10,cancelado
ped_00446,user_0398,res_0059,2022-03-17,pendiente
ped_00447,user_0104,res_0006,2026-06-09,entregado
ped_00448,user_0454,res_0006,2023-10-09,pendiente
ped_00449,user_0264,res_0051,2026-07-28,cancelado
ped_00450,user_0243,res_0033,2022-03-16,cancelado
ped_00451,user_0098,res_0037,2024-01-02,entregado
ped_00452,user_0444,res_0084,2023-11-11,pendiente
ped_00453,user_0064,res_0048,2024-06-13,pendiente
ped_00454,user_0381,res_0057,2027-01-07,pendiente
ped_00455,user_0174,res_0024,2024-10-13,cancelado
ped_00456,user_0255,res_0048,2027-03-08,cancelado
ped_00457,user_0137,res_0011,2026-01-29,pendiente
ped_00458,user_0041,res_0056,2025-05-18,entregado
ped_00459,user_0280,res_0038,2023-10-20,entregado
ped_00460,user_0041,res_0042,2025-09-15,pendiente
ped_00461,user_0157,res_0058,2025-05-19,cancelado
ped_00462,user_0219,res_0022,2025-11-13,pendiente
ped_00463,user_0180,res_0058,2022-03-28,cancelado
ped_00464,user_0446,res_0046,2025-06-13,pendiente
ped_00465,user_0141,res_0082,2026-06-09,entregado
ped_00466,user_0039,res_0086,2025-07-29,pendiente
ped_00467,user_0187,res_0066,2026-06-29,cancelado
ped_00468,user_0348,res_0021,2027-05-06,entregado
ped_00469,user_0074,res_0078,2025-10-20,pendiente
ped_00470,user_0018,res_0017,2022-05-18,entregado
ped_00471,user_0399,res_0083,2024-01-21,pendiente
ped_00472,user_0197,res_0073,2022-03-08,cancelado
ped_00473,user_0079,res_0087,2024-07-10,pendiente
ped_00474,user_0191,res_0057,2026-04-12,entregado
ped_00475,user_0294,res_0018,2024-12-20,pendiente
ped_00476,user_0204,res_0041,2025-08-23,pendiente
ped_00477,user_0128,res_0015,2022-02-23,cancelado
ped_00478,user_0096,res_0064,2024-11-26,pendiente
ped_00479,user_0468,res_0072,2022-08-30,pendiente
ped_00480,user_0397,res_0034,2025-12-12,pendiente
ped_00481,user_0110,res_0079,2023-08-08,cancelado
ped_00482,user_0470,res_0063,2023-02-14,entregado
ped_00483,user_0070,res_0010,2024-07-14,entregado
ped_00484,user_0461,res_0092,2024-06-30,entregado
ped_00485,user_0415,res_0088,2027-06-05,pendiente
ped_00486,user_0342,res_0045,2025-12-24,entregado
ped_00487,user_0282,res_0070,2023-08-18,pendiente
ped_00488,user_0436,res_0021,2025-12-28,cancelado
ped_00489,user_0475,res_0090,2025-07-30,entregado
ped_00490,user_0407,res_0047,2024-11-07,entregado
ped_00491,user_0063,res_0026,2026-06-11,entregado
ped_00492,user_0122,res_0064,2022-02-23,pendiente
ped_00493,user_0284,res_0074,2024-01-26,pendiente
ped_00494,user_0412,res_0071,2022-09-23,cancelado
ped_00495,user_0453,res_0012,2022-05-15,pendiente
ped_00496,user_0204,res_0092,2026-01-12,pendiente
ped_00497,user_0270,res_0053,2026-04-25,pendiente
ped_00498,user_0422,res_0074,2022-06-01,entregado
ped_00499,user_0498,res_0041,2025-08-08,entregado
ped_00500,user_0231,res_0060,2025-10-24,cancelado
ped_00501,user_0177,res_0017,2026-12-04,cancelado
ped_00502,user_0328,res_0076,2023-01-08,entregado
ped_00503,user_0222,res_0065,2027-02-09,entregado
